, , training loss, validation accuracy, validation loss,Epoch,Unnamed: 5,Unnamed: 6
2, ,2.302425,0.136000,2.301529,1,,
5, ,2.301399,0.113000,2.300506,2,,
8, ,2.300475,0.173000,2.299574,3,,
11, ,2.299741,0.126000,2.298677,4,,
14, ,2.299024,0.119000,2.297958,5,,
17, ,2.298470,0.119000,2.297271,6,,
20, ,2.297975,0.119000,2.296726,7,,
23, ,2.297531,0.119000,2.296286,8,,
26, ,2.297119,0.119000,2.295801,9,,
29, ,2.296749,0.119000,2.295417,10,,
32, ,2.296420,0.119000,2.295000,11,,
35, ,2.296062,0.119000,2.294657,12,,
38, ,2.295758,0.119000,2.294330,13,,
41, ,2.295436,0.119000,2.294036,14,,
44, ,2.295081,0.119000,2.293783,15,,
47, ,2.294699,0.119000,2.293364,16,,
50, ,2.294278,0.119000,2.292993,17,,
53, ,2.293909,0.119000,2.292627,18,,
56, ,2.293475,0.119000,2.292257,19,,
59, ,2.293019,0.119000,2.291771,20,,
62, ,2.292545,0.119000,2.291322,21,,
65, ,2.291987,0.119000,2.290795,22,,
68, ,2.291433,0.119000,2.290377,23,,
71, ,2.290898,0.119000,2.289764,24,,
74, ,2.290255,0.119000,2.289269,25,,
77, ,2.289600,0.119000,2.288674,26,,
80, ,2.288792,0.119000,2.288023,27,,
83, ,2.287964,0.119000,2.287239,28,,
86, ,2.287167,0.120000,2.286494,29,,
89, ,2.286133,0.125000,2.285564,30,,
92, ,2.285029,0.123000,2.284457,31,,
95, ,2.283867,0.132000,2.283404,32,,
98, ,2.282695,0.123000,2.282154,33,,
101, ,2.281113,0.148000,2.280842,34,,
104, ,2.279411,0.152000,2.279310,35,,
107, ,2.277662,0.157000,2.277573,36,,
110, ,2.275542,0.170000,2.275630,37,,
113, ,2.273241,0.198000,2.273509,38,,
116, ,2.270577,0.180000,2.270813,39,,
119, ,2.267368,0.191000,2.267879,40,,
122, ,2.263752,0.218000,2.264530,41,,
125, ,2.259715,0.219000,2.260411,42,,
128, ,2.254727,0.242000,2.255553,43,,
131, ,2.248772,0.243000,2.249746,44,,
134, ,2.241562,0.255000,2.242872,45,,
137, ,2.232802,0.264000,2.234005,46,,
140, ,2.221951,0.267000,2.223204,47,,
143, ,2.208153,0.275000,2.208888,48,,
146, ,2.190091,0.307000,2.190489,49,,
149, ,2.166938,0.323000,2.165745,50,,
152, ,2.135676,0.331000,2.133219,51,,
155, ,2.091015,0.335000,2.089667,52,,
158, ,2.030970,0.391000,2.016738,53,,
161, ,1.995196,0.326000,2.010875,54,,
164, ,1.873240,0.423000,1.840275,55,,
167, ,1.834294,0.423000,1.748372,56,,
170, ,1.649766,0.459000,1.663469,57,,
173, ,1.590515,0.312000,1.851281,58,,
176, ,1.557175,0.522000,1.481066,59,,
179, ,1.353931,0.569000,1.345338,60,,
182, ,1.377369,0.589000,1.280156,61,,
185, ,1.189894,0.613000,1.182283,62,,
188, ,1.213387,0.593000,1.198762,63,,
191, ,1.063257,0.657000,1.060181,64,,
194, ,0.958774,0.690000,0.970799,65,,
197, ,0.968894,0.568000,1.312099,66,,
200, ,1.000378,0.710000,0.905487,67,,
203, ,0.830651,0.728000,0.842671,68,,
206, ,0.786204,0.721000,0.846273,69,,
209, ,0.868303,0.664000,0.998823,70,,
212, ,0.769007,0.747000,0.782793,71,,
215, ,0.698797,0.758000,0.763356,72,,
218, ,0.684518,0.754000,0.762497,73,,
221, ,0.648042,0.771000,0.689031,74,,
224, ,0.695998,0.737000,0.830896,75,,
227, ,0.657906,0.780000,0.670262,76,,
230, ,0.588384,0.781000,0.660634,77,,
233, ,0.576870,0.770000,0.655813,78,,
236, ,0.642064,0.796000,0.624935,79,,
239, ,0.557196,0.783000,0.642015,80,,
242, ,0.551036,0.795000,0.619128,81,,
245, ,0.571327,0.774000,0.696255,82,,
248, ,0.538758,0.796000,0.602332,83,,
251, ,0.509235,0.799000,0.620159,84,,
254, ,0.508004,0.796000,0.625043,85,,
257, ,0.491724,0.812000,0.571905,86,,
260, ,0.586270,0.823000,0.568811,87,,
263, ,0.479269,0.822000,0.572105,88,,
266, ,0.462852,0.809000,0.555248,89,,
269, ,0.455008,0.808000,0.553215,90,,
272, ,0.001076,0.957000,0.282872,92,,
275, ,0.001030,0.957000,0.279808,93,,
278, ,0.001007,0.957000,0.281376,94,,
281, ,0.000977,0.957000,0.281461,95,,
284, ,0.000943,0.957000,0.284953,96,,
287, ,0.000921,0.957000,0.283902,97,,
290, ,0.000904,0.957000,0.285696,98,,
293, ,0.000879,0.957000,0.287110,99,,
296, ,0.000855,0.957000,0.286292,100,,
299, ,0.000838,0.957000,0.286252,101,,
302, ,0.000819,0.957000,0.290025,102,,
305, ,0.000802,0.957000,0.287793,103,,
308, ,0.000794,0.957000,0.290636,104,,
311, ,0.000776,0.957000,0.291192,105,,
314, ,0.000748,0.957000,0.291697,106,,
317, ,0.000740,0.957000,0.293086,107,,
320, ,0.000728,0.957000,0.293732,108,,
323, ,0.000718,0.957000,0.293018,109,,
326, ,0.000696,0.957000,0.294048,110,,
329, ,0.000682,0.958000,0.293801,111,,
332, ,0.000673,0.957000,0.295324,112,,
335, ,0.000657,0.957000,0.297416,113,,
338, ,0.000647,0.957000,0.298826,114,,
341, ,0.000638,0.957000,0.295954,115,,
344, ,0.000622,0.957000,0.298567,116,,
347, ,0.000612,0.957000,0.298582,117,,
350, ,0.000601,0.957000,0.299588,118,,
353, ,0.000589,0.957000,0.300068,119,,
356, ,0.000575,0.957000,0.299313,120,,
359, ,0.000565,0.957000,0.301566,121,,
362, ,0.000562,0.957000,0.301787,122,,
365, ,0.000549,0.957000,0.302864,123,,
368, ,0.000543,0.957000,0.302463,124,,
371, ,0.000533,0.957000,0.302351,125,,
374, ,0.000527,0.957000,0.304122,126,,
377, ,0.000518,0.957000,0.304831,127,,
380, ,0.000506,0.958000,0.304566,128,,
383, ,0.000496,0.957000,0.305340,129,,
386, ,0.000492,0.957000,0.306777,130,,
389, ,0.000484,0.957000,0.305306,131,,
392, ,0.000478,0.957000,0.307033,132,,
395, ,0.000472,0.957000,0.308245,133,,
398, ,0.000467,0.957000,0.307421,134,,
401, ,0.000457,0.957000,0.308694,135,,
404, ,0.000452,0.957000,0.308799,136,,
407, ,0.000443,0.957000,0.308410,137,,
410, ,0.000436,0.957000,0.309817,138,,
413, ,0.000435,0.957000,0.309743,139,,
416, ,0.000425,0.957000,0.310572,140,,
419, ,0.000422,0.957000,0.311997,141,,
422, ,0.000419,0.957000,0.311641,142,,
425, ,0.000407,0.957000,0.312269,143,,
428, ,0.000406,0.957000,0.312626,144,,
431, ,0.000397,0.957000,0.312380,145,,
434, ,0.000394,0.957000,0.314062,146,,
437, ,0.000388,0.957000,0.314436,147,,
440, ,0.000384,0.958000,0.313932,148,,
443, ,0.000379,0.957000,0.315203,149,,
446, ,0.000376,0.957000,0.315635,150,,